COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,
PRODUCCIÓN DE HIDROCARBUROS POR POZO,,,,,,,,
Correspondiente a la cuenca: Cinturon Plegado De Chiapas,,,,,,,,
Esta información se encuentra en proceso de revisión por lo que puede sufrir modificaciones.,,,,,,,,
,,,,,,,,
Actualización: 2020-05,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fecha,Cuenca,Asignación_o_Contrato,Nombre_del_pozo,Petróleo_(Mbd),Gas_asociado_(MMpcd),Gas_no_asociado_(MMpcd),Agua_(Mbd),Condensado_(Mbd)
01-04-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.610998,14.012047,0.0,0.056371,0.0
01-04-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,1.01092,0.135161,0.0,0.0,0.0
01-04-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.802061,0.094479,0.0,0.0,0.0
01-04-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,3.003879,0.366877,0.0,0.0,0.0
01-04-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,1.104713,0.142318,0.0,0.0,0.0
01-04-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.944792,0.129435,0.0,0.0,0.0
01-05-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.951432,0.130576,0.0,0.0,0.0
01-05-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,1.099188,0.143644,0.0,0.0,0.0
01-05-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,3.00305,0.347749,0.0,0.0,0.0
01-05-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.791478,0.107818,0.0,0.0,0.0
01-05-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,0.982734,0.138612,0.0,0.0,0.0
01-05-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.616381,14.075608,0.0,0.050405,0.0
01-05-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.198555,4.653978,0.0,0.109697,0.0
01-05-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.05035,0.903532,0.0,0.006282,0.0
01-06-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.936418,0.122605,0.0,0.0,0.0
01-06-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,1.09471,0.144785,0.0,0.0,0.0
01-06-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,2.993764,0.346618,0.0,0.0,0.0
01-06-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.797657,0.109446,0.0,0.0,0.0
01-06-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,1.057234,0.141049,0.0,0.0,0.0
01-06-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.6164,14.266013,0.0,0.049985,0.0
01-06-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.189742,4.804961,0.0,0.118544,0.0
01-06-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.050318,0.915084,0.0,0.006284,0.0
01-07-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.049913,0.930386,0.0,0.006288,0.0
01-07-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.186665,4.885578,0.0,0.121677,0.0
01-07-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.6164,14.651955,0.0,0.050014,0.0
01-07-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,0.991806,0.128073,0.0,0.0,0.0
01-07-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.77694,0.102085,0.0,0.0,0.0
01-07-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,2.983399,0.359723,0.0,0.0,0.0
01-07-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,1.082201,0.141916,0.0,0.0,0.0
01-07-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.943826,0.125893,0.0,0.0,0.0
01-08-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.044029,0.835662,0.0,0.006301,0.0
01-08-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.182404,4.943093,0.0,0.125926,0.0
01-08-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.6164,15.087783,0.0,0.053239,0.0
01-08-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,0.964849,0.126871,0.0,0.0,0.0
01-08-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,2.901628,0.345816,0.0,0.0,0.0
01-08-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,1.046848,0.137001,0.0,0.0,0.0
01-08-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.898793,0.124499,0.0,0.0,0.0
01-08-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.758086,0.093202,0.0,0.0,0.0
01-09-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.063666,1.137816,0.0,0.009063,0.0
01-09-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.206866,4.509576,0.0,0.146723,0.0
01-09-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.631175,15.353775,0.0,0.060077,0.0
01-09-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,0.728451,0.091687,0.0,0.0,0.0
01-09-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,2.180363,0.26765,0.0,0.0,0.0
01-09-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,0.828017,0.099553,0.0,0.0,0.0
01-09-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.655297,0.088977,0.0,0.0,0.0
01-09-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.56675,0.070375,0.0,0.0,0.0
01-10-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.103824,1.855846,0.0,0.012579,0.0
01-10-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.237297,4.104146,0.0,0.165669,0.0
01-10-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.711705,17.14977,0.0,0.069514,0.0
01-10-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,0.811813,0.092009,0.0,0.0,0.0
01-10-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.450573,0.056511,0.0,0.0,0.0
01-10-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,1.861385,0.227552,0.0,0.0,0.0
01-10-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,0.641357,0.081109,0.0,0.0,0.0
01-10-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.491242,0.066843,0.0,0.0,0.0
01-11-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.106927,1.8877,0.0,0.012545,0.0
01-11-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.232723,4.279481,0.0,0.169915,0.0
01-11-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.69041,16.482982,0.0,0.067544,0.0
01-11-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,0.836599,0.094475,0.0,0.0,0.0
01-11-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.539493,0.066262,0.0,0.0,0.0
01-11-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,1.84087,0.226876,0.0,0.0,0.0
01-11-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,0.700107,0.089749,0.0,0.0,0.0
01-11-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.596492,0.080845,0.0,0.0,0.0
01-12-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.106927,1.88479,0.0,0.012533,0.0
01-12-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.232723,4.272885,0.0,0.16976,0.0
01-12-1999,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.710747,16.900048,0.0,0.069376,0.0
01-12-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,0.902482,0.100875,0.0,0.0,0.0
01-12-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.468885,0.057303,0.0,0.0,0.0
01-12-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,1.144541,0.13975,0.0,0.0,0.0
01-12-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,0.503097,0.064272,0.0,0.0,0.0
01-12-1999,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-9,0.415225,0.055994,0.0,0.0,0.0
01-01-2000,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-67,0.100734,1.931562,0.0,0.012661,0.0
01-01-2000,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-85,0.219244,4.378919,0.0,0.171491,0.0
01-01-2000,CINTURON PLEGADO DE CHIAPAS,,CATEDRAL-87,0.67237,17.260628,0.0,0.070805,0.0
01-01-2000,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-12,1.005316,0.117145,0.0,0.0,0.0
01-01-2000,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-2,0.690705,0.085765,0.0,0.0,0.0
01-01-2000,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-6,2.638588,0.302996,0.0,0.0,0.0
01-01-2000,CINTURON PLEGADO DE CHIAPAS,,CERRO NANCHITAL-8,0.96646,0.133878,0.0,0.0,0.0
