COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,
PRODUCCIÓN DE HIDROCARBUROS POR POZO,,,,,,,,
Correspondiente a la cuenca: Sabinas,,,,,,,,
Esta información se encuentra en proceso de revisión por lo que puede sufrir modificaciones.,,,,,,,,
,,,,,,,,
Actualización: 2020-05,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fecha,Cuenca,Asignación_o_Contrato,Nombre_del_pozo,Petróleo_(Mbd),Gas_asociado_(MMpcd),Gas_no_asociado_(MMpcd),Agua_(Mbd),Condensado_(Mbd)
01-05-1979,SABINAS,,MONCLOVA-216,0.0,0.0,5.170391,0.0,0.0
01-05-1979,SABINAS,,MONCLOVA-2,0.0,0.0,9.159031,0.0,0.0
01-05-1979,SABINAS,,MONCLOVA-129,0.0,0.0,12.019708,0.0,0.0
01-05-1979,SABINAS,,MONCLOVA-127,0.0,0.0,19.207109,0.0,0.0
01-05-1979,SABINAS,,MONCLOVA-1,0.0,0.0,6.868164,0.000406,0.0
01-05-1979,SABINAS,,AMULETO-1B,0.0,0.0,14.566437,0.0,0.0
01-05-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,17.000817,0.0,0.0
01-05-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,10.854888,0.0,0.0
01-05-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,6.843317,0.0,0.0
01-05-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,3.45291,0.380837,0.0
01-05-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,1.599069,0.0,0.0
01-06-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,24.288812,0.0,0.0
01-06-1979,SABINAS,,AMULETO-1B,0.0,0.0,17.199099,0.0,0.0
01-06-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,9.693069,0.0,0.0
01-06-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,7.438577,0.0,0.0
01-06-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,0.898199,0.0,0.0
01-06-1979,SABINAS,,MONCLOVA-1,0.0,0.0,8.115213,0.000419,0.0
01-06-1979,SABINAS,,MONCLOVA-127,0.0,0.0,8.727507,0.0,0.0
01-06-1979,SABINAS,,MONCLOVA-129,0.0,0.0,7.112816,0.0,0.0
01-06-1979,SABINAS,,MONCLOVA-2,0.0,0.0,17.611741,0.0,0.0
01-06-1979,SABINAS,,MONCLOVA-216,0.0,0.0,5.237481,0.0,0.0
01-06-1979,SABINAS,,MONCLOVA-22,0.0,0.0,2.359743,0.00021,0.0
01-06-1979,SABINAS,,MONCLOVA-26,0.0,0.0,0.69493,0.004613,0.0
01-06-1979,SABINAS,,MONCLOVA-5,0.0,0.0,7.82744,0.0,0.0
